Wavenumber	AOTF function #so_aotf_20230112_084925-191-4
4314.4313	0.0086
4315.0585	0.0088
4315.6857	0.0088
4316.3130	0.0089
4316.9402	0.0088
4317.5674	0.0087
4318.1947	0.0086
4318.8219	0.0084
4319.4492	0.0082
4320.0765	0.0081
4320.7037	0.0079
4321.3310	0.0078
4321.9583	0.0077
4322.5856	0.0076
4323.2129	0.0075
4323.8401	0.0075
4324.4674	0.0074
4325.0947	0.0073
4325.7220	0.0072
4326.3493	0.0071
4326.9767	0.0069
4327.6040	0.0066
4328.2313	0.0063
4328.8586	0.0060
4329.4859	0.0055
4330.1133	0.0051
4330.7406	0.0046
4331.3679	0.0042
4331.9953	0.0037
4332.6226	0.0032
4333.2500	0.0027
4333.8773	0.0023
4334.5047	0.0018
4335.1321	0.0014
4335.7594	0.0009
4336.3868	0.0005
4337.0142	0.0002
4337.6416	-0.0002
4338.2690	-0.0005
4338.8964	-0.0007
4339.5238	-0.0008
4340.1512	-0.0009
4340.7786	-0.0008
4341.4060	-0.0005
4342.0334	-0.0001
4342.6608	0.0006
4343.2882	0.0015
4343.9157	0.0026
4344.5431	0.0041
4345.1705	0.0059
4345.7980	0.0080
4346.4254	0.0104
4347.0529	0.0131
4347.6803	0.0158
4348.3078	0.0186
4348.9352	0.0213
4349.5627	0.0238
4350.1902	0.0260
4350.8176	0.0278
4351.4451	0.0292
4352.0726	0.0301
4352.7001	0.0306
4353.3276	0.0307
4353.9551	0.0305
4354.5826	0.0299
4355.2101	0.0290
4355.8376	0.0279
4356.4651	0.0267
4357.0926	0.0253
4357.7201	0.0237
4358.3476	0.0221
4358.9752	0.0203
4359.6027	0.0186
4360.2302	0.0168
4360.8578	0.0150
4361.4853	0.0132
4362.1129	0.0115
4362.7404	0.0099
4363.3680	0.0084
4363.9956	0.0071
4364.6231	0.0061
4365.2507	0.0055
4365.8783	0.0053
4366.5059	0.0056
4367.1334	0.0066
4367.7610	0.0083
4368.3886	0.0109
4369.0162	0.0143
4369.6438	0.0187
4370.2714	0.0238
4370.8990	0.0298
4371.5267	0.0363
4372.1543	0.0432
4372.7819	0.0501
4373.4095	0.0569
4374.0372	0.0634
4374.6648	0.0693
4375.2924	0.0746
4375.9201	0.0792
4376.5477	0.0831
4377.1754	0.0863
4377.8031	0.0889
4378.4307	0.0910
4379.0584	0.0926
4379.6861	0.0937
4380.3137	0.0945
4380.9414	0.0949
4381.5691	0.0951
4382.1968	0.0950
4382.8245	0.0946
4383.4522	0.0940
4384.0799	0.0931
4384.7076	0.0920
4385.3353	0.0907
4385.9630	0.0891
4386.5907	0.0872
4387.2184	0.0851
4387.8462	0.0825
4388.4739	0.0796
4389.1016	0.0763
4389.7294	0.0726
4390.3571	0.0685
4390.9849	0.0640
4391.6126	0.0590
4392.2404	0.0539
4392.8681	0.0485
4393.4959	0.0432
4394.1237	0.0381
4394.7514	0.0334
4395.3792	0.0292
4396.0070	0.0257
4396.6348	0.0229
4397.2626	0.0210
4397.8904	0.0197
4398.5182	0.0192
4399.1460	0.0192
4399.7738	0.0198
4400.4016	0.0207
4401.0294	0.0219
4401.6572	0.0233
4402.2851	0.0249
4402.9129	0.0266
4403.5407	0.0283
4404.1686	0.0300
4404.7964	0.0317
4405.4243	0.0334
4406.0521	0.0349
4406.6800	0.0364
4407.3078	0.0378
4407.9357	0.0391
4408.5636	0.0403
4409.1914	0.0412
4409.8193	0.0420
4410.4472	0.0427
4411.0751	0.0430
4411.7030	0.0431
4412.3309	0.0429
4412.9588	0.0423
4413.5867	0.0414
4414.2146	0.0400
4414.8425	0.0382
4415.4704	0.0360
4416.0983	0.0335
4416.7262	0.0307
4417.3542	0.0278
4417.9821	0.0249
4418.6100	0.0222
4419.2380	0.0196
4419.8659	0.0175
4420.4939	0.0157
4421.1218	0.0143
4421.7498	0.0133
4422.3778	0.0127
4423.0057	0.0124
4423.6337	0.0124
4424.2617	0.0126
4424.8897	0.0130
4425.5176	0.0136
4426.1456	0.0143
4426.7736	0.0151
4427.4016	0.0159
4428.0296	0.0167
4428.6576	0.0175
4429.2856	0.0184
4429.9136	0.0191
4430.5417	0.0199
4431.1697	0.0206
4431.7977	0.0212
4432.4257	0.0217
4433.0538	0.0221
4433.6818	0.0224
4434.3099	0.0226
4434.9379	0.0226
4435.5660	0.0224
4436.1940	0.0219
4436.8221	0.0213
4437.4502	0.0204
4438.0782	0.0192
4438.7063	0.0179
4439.3344	0.0164
4439.9625	0.0148
4440.5905	0.0132
4441.2186	0.0116
4441.8467	0.0102
4442.4748	0.0090
4443.1029	0.0080
4443.7311	0.0073
4444.3592	0.0068
4444.9873	0.0066
4445.6154	0.0065
4446.2435	0.0066
4446.8717	0.0069
4447.4998	0.0073
4448.1279	0.0078
4448.7561	0.0083
4449.3842	0.0089
4450.0124	0.0096
4450.6405	0.0102
4451.2687	0.0108
4451.8969	0.0114
4452.5250	0.0120
4453.1532	0.0126
4453.7814	0.0131
4454.4096	0.0136
4455.0377	0.0141
4455.6659	0.0145
4456.2941	0.0148
4456.9223	0.0150
4457.5505	0.0152
4458.1787	0.0152
4458.8070	0.0151
4459.4352	0.0149
4460.0634	0.0145
4460.6916	0.0139
4461.3198	0.0131
4461.9481	0.0122
4462.5763	0.0111
4463.2046	0.0101
4463.8328	0.0090
4464.4611	0.0080
4465.0893	0.0071
4465.7176	0.0064
4466.3458	0.0058
4466.9741	0.0054
4467.6024	0.0052
4468.2306	0.0051
4468.8589	0.0052
4469.4872	0.0055
4470.1155	0.0058
4470.7438	0.0062
4471.3721	0.0066
4472.0004	0.0070
4472.6287	0.0074
4473.2570	0.0078
4473.8853	0.0082
4474.5136	0.0084
