Pixel number	Blaze function
0	0.0086
1	0.0092
2	0.0099
3	0.0108
4	0.0118
5	0.0130
6	0.0143
7	0.0156
8	0.0170
9	0.0184
10	0.0199
11	0.0215
12	0.0232
13	0.0250
14	0.0268
15	0.0287
16	0.0306
17	0.0325
18	0.0346
19	0.0368
20	0.0390
21	0.0414
22	0.0438
23	0.0463
24	0.0489
25	0.0516
26	0.0544
27	0.0573
28	0.0603
29	0.0634
30	0.0665
31	0.0698
32	0.0732
33	0.0766
34	0.0802
35	0.0839
36	0.0876
37	0.0914
38	0.0953
39	0.0993
40	0.1034
41	0.1077
42	0.1121
43	0.1165
44	0.1209
45	0.1256
46	0.1304
47	0.1353
48	0.1403
49	0.1452
50	0.1501
51	0.1552
52	0.1604
53	0.1657
54	0.1710
55	0.1764
56	0.1818
57	0.1872
58	0.1928
59	0.1986
60	0.2044
61	0.2101
62	0.2158
63	0.2216
64	0.2275
65	0.2334
66	0.2393
67	0.2453
68	0.2512
69	0.2570
70	0.2629
71	0.2689
72	0.2750
73	0.2811
74	0.2871
75	0.2932
76	0.2992
77	0.3053
78	0.3116
79	0.3180
80	0.3241
81	0.3304
82	0.3366
83	0.3429
84	0.3494
85	0.3562
86	0.3631
87	0.3699
88	0.3768
89	0.3840
90	0.3912
91	0.3987
92	0.4064
93	0.4141
94	0.4215
95	0.4291
96	0.4367
97	0.4444
98	0.4525
99	0.4605
100	0.4684
101	0.4765
102	0.4846
103	0.4931
104	0.5014
105	0.5099
106	0.5185
107	0.5269
108	0.5353
109	0.5440
110	0.5527
111	0.5612
112	0.5698
113	0.5784
114	0.5870
115	0.5955
116	0.6040
117	0.6124
118	0.6206
119	0.6284
120	0.6354
121	0.6430
122	0.6503
123	0.6574
124	0.6644
125	0.6712
126	0.6781
127	0.6846
128	0.6910
129	0.6975
130	0.7035
131	0.7093
132	0.7152
133	0.7210
134	0.7265
135	0.7317
136	0.7369
137	0.7419
138	0.7473
139	0.7523
140	0.7579
141	0.7625
142	0.7677
143	0.7726
144	0.7777
145	0.7824
146	0.7877
147	0.7928
148	0.7985
149	0.8036
150	0.8093
151	0.8144
152	0.8200
153	0.8252
154	0.8313
155	0.8368
156	0.8431
157	0.8481
158	0.8540
159	0.8594
160	0.8654
161	0.8711
162	0.8779
163	0.8837
164	0.8905
165	0.8960
166	0.9025
167	0.9080
168	0.9145
169	0.9196
170	0.9262
171	0.9309
172	0.9366
173	0.9413
174	0.9467
175	0.9518
176	0.9567
177	0.9612
178	0.9660
179	0.9685
180	0.9722
181	0.9740
182	0.9767
183	0.9786
184	0.9809
185	0.9824
186	0.9842
187	0.9847
188	0.9868
189	0.9877
190	0.9896
191	0.9903
192	0.9917
193	0.9916
194	0.9931
195	0.9927
196	0.9931
197	0.9929
198	0.9935
199	0.9935
200	0.9942
201	0.9942
202	0.9942
203	0.9936
204	0.9949
205	0.9958
206	0.9968
207	0.9967
208	0.9982
209	0.9982
210	0.9992
211	0.9995
212	1.0000
213	0.9993
214	0.9998
215	0.9988
216	0.9997
217	0.9985
218	0.9986
219	0.9971
220	0.9977
221	0.9972
222	0.9967
223	0.9951
224	0.9957
225	0.9932
226	0.9933
227	0.9916
228	0.9905
229	0.9889
230	0.9875
231	0.9855
232	0.9844
233	0.9813
234	0.9797
235	0.9760
236	0.9743
237	0.9709
238	0.9678
239	0.9648
240	0.9618
241	0.9581
242	0.9546
243	0.9510
244	0.9476
245	0.9424
246	0.9386
247	0.9340
248	0.9291
249	0.9237
250	0.9187
251	0.9131
252	0.9074
253	0.9012
254	0.8950
255	0.8887
256	0.8820
257	0.8745
258	0.8679
259	0.8605
260	0.8536
261	0.8464
262	0.8393
263	0.8324
264	0.8255
265	0.8188
266	0.8125
267	0.8060
268	0.8004
269	0.7942
270	0.7882
271	0.7817
272	0.7765
273	0.7707
274	0.7650
275	0.7592
276	0.7533
277	0.7468
278	0.7404
279	0.7340
280	0.7283
281	0.7216
282	0.7151
283	0.7084
284	0.7019
285	0.6955
286	0.6891
287	0.6826
288	0.6761
289	0.6692
290	0.6622
291	0.6555
292	0.6486
293	0.6415
294	0.6344
295	0.6270
296	0.6199
297	0.6132
298	0.6063
299	0.5995
300	0.5926
301	0.5857
302	0.5789
303	0.5721
304	0.5654
305	0.5584
306	0.5513
307	0.5442
308	0.5371
309	0.5300
310	0.5231
311	0.5160
312	0.5090
313	0.5021
314	0.4955
315	0.4888
316	0.4830
317	0.4781
318	0.4738
319	0.4702
