130, ground: -17.318, 0.000; -17.100, 1.122; -10.124, 5.414; -1.616, 14.293; -1.314, 14.491; -0.996, 15.151; -0.978, 14.854; 10.413, 25.186; 
130, ground: -17.318, 0.000; -17.100, 0.922; -10.124, 5.379; -1.616, 13.954; -1.314, 14.429; -0.996, 15.114; -0.978, 14.578; 10.413, 25.015; 
131, ground: -17.318, 0.000; -17.100, 1.268; -10.124, 5.314; -1.616, 14.432; -1.314, 14.603; -0.996, 15.285; -0.978, 14.846; 10.413, 25.280; 
131, ground: -17.318, 0.000; -17.100, 1.056; -10.124, 5.278; -1.616, 14.251; -1.314, 14.251; -0.996, 14.990; -0.978, 14.567; 10.413, 25.124; 
132, ground: -17.318, 0.000; -17.100, 1.428; -10.080, 5.298; -1.583, 14.436; -1.314, 14.658; -0.996, 15.261; -0.978, 14.912; 10.444, 25.096; 
132, ground: -17.318, 0.000; -17.100, 1.689; -10.080, 5.235; -1.583, 14.515; -1.314, 14.872; -0.996, 15.395; -0.978, 15.253; 10.444, 25.435; 
133, ground: -17.318, 0.000; -17.100, 1.303; -10.080, 5.203; -1.583, 14.362; -1.314, 14.532; -0.996, 15.090; -0.978, 14.871; 10.444, 25.058; 
134, ground: -17.318, 0.000; -17.063, 1.306; -15.439, 2.352; -14.738, 3.157; -12.162, 3.412; -11.409, 3.917; -10.080, 5.310; -1.583, 14.502; -1.314, 14.783; -0.978, 15.005; -0.962, 15.257; -0.063, 16.117; 10.444, 25.279; 12.175, 24.276; 12.826, 24.706; 
135, ground: -17.318, 0.000; -17.063, 1.495; -15.233, 2.836; -11.927, 3.428; -10.080, 5.181; -1.583, 14.539; -1.274, 14.745; -0.978, 15.003; -0.962, 15.261; 0.071, 16.034; 10.444, 25.185; 12.357, 24.128; 
136, ground: -17.318, 0.000; -17.063, 1.431; -15.023, 3.017; -11.695, 3.694; -10.080, 5.306; -1.583, 14.514; -1.274, 14.748; -0.978, 15.034; -0.962, 15.321; 0.186, 16.179; 10.444, 25.231; 12.548, 24.399; 
137, ground: -17.318, 0.000; -17.063, 1.250; -10.080, 5.292; -1.583, 14.388; -1.274, 14.707; -0.978, 15.079; -0.962, 15.318; 10.444, 25.318; 
138, ground: -17.318, 0.000; -17.063, 1.065; -10.080, 5.055; -1.583, 14.538; -1.274, 14.845; -0.962, 15.376; -0.935, 15.227; 10.444, 25.229; 
139, ground: -17.240, 0.000; -17.063, 1.463; -10.080, 5.331; -1.583, 14.665; -1.274, 14.896; -0.962, 15.474; -0.935, 15.108; 10.444, 25.693; 
143, ground: -15.688, 0.000; -13.173, 0.716; -11.129, 2.319; 9.897, 22.068; 18.548, 26.449; 
144, ground: -15.688, 0.000; -14.734, 0.824; -14.209, -1.020; -13.173, 1.020; -11.129, 2.931; 6.676, 19.314; 9.897, 22.779; 18.548, 27.469; 
145, ground: -15.688, 0.000; -14.563, 0.987; -14.033, -1.113; -13.173, 0.438; -11.129, 2.394; 7.004, 19.228; 9.897, 22.140; 18.548, 26.673; 
146, ground: -15.652, 0.000; -14.357, 1.046; -13.834, -0.837; -13.173, 0.608; -11.129, 2.228; 7.313, 19.977; 9.897, 22.663; 18.548, 26.904; 
147, ground: -15.652, 0.000; -13.173, 0.591; -11.129, 2.152; 9.897, 22.817; 18.548, 27.015; 
148, ground: -15.652, 0.000; -13.173, 0.726; -11.129, 2.405; 9.897, 22.778; 18.548, 27.026; 
149, ground: -15.652, 0.000; -13.173, 0.769; -11.129, 2.128; 9.897, 22.869; 18.548, 27.182; 
160, ground: -14.959, 0.000; -10.368, 1.970; 11.218, 22.891; 19.046, 26.871; 
161, ground: -14.959, 0.000; -10.368, 2.454; 11.218, 22.936; 19.046, 27.238; 
162, ground: -14.959, 0.000; -10.368, 1.859; 11.218, 22.811; 19.046, 26.767; 
164, ground: -14.959, 0.000; -10.368, 2.498; 11.218, 22.931; 19.046, 27.270; 
166, ground: -14.959, 0.000; -10.368, 2.142; 11.252, 22.775; 19.046, 27.302; 
167, ground: -17.177, 0.000; -14.925, 1.722; -12.210, 1.722; -10.343, 3.653; 9.249, 22.937; 11.252, 24.373; 19.046, 28.266; 
169, ground: -16.861, 0.000; -16.861, -0.067; -14.925, 1.540; -11.791, 1.908; -11.791, 1.997; -10.343, 3.698; 11.252, 24.494; 19.046, 28.553; 
170, ground: -14.925, 0.000; -10.343, 1.923; 11.252, 23.014; 19.046, 26.908; 
171, ground: -14.925, 0.000; -10.343, 1.939; 11.252, 22.802; 19.046, 26.966; 
172, ground: -14.925, 0.000; -10.343, 1.728; 11.252, 22.711; 19.075, 26.483; 
173, ground: -14.925, 0.000; -10.343, 1.983; 11.252, 22.861; 19.075, 26.786; 
187, ground: -16.332, 0.000; -15.355, -0.438; -0.292, 13.641; 11.136, 23.463; 
188, ground: -16.332, 0.000; -15.269, -0.505; -0.292, 13.725; 11.136, 23.805; 
190, ground: -16.332, 0.000; -15.881, 0.318; -15.269, -0.637; -15.191, 0.819; -13.303, 0.136; -12.536, 0.728; -0.292, 13.393; 9.889, 22.568; 11.136, 23.660; 
130, inflight: -18.402, 0.000; -10.802, 6.486; -10.650, 6.971; -5.331, 10.746; -2.899, 12.102; 3.940, 18.855; 
131, inflight: -18.402, 0.000; -10.802, 6.534; -10.650, 7.106; -5.331, 11.056; -2.899, 12.472; 3.940, 19.304; 
132, inflight: -18.402, 0.000; -10.802, 6.424; -10.650, 6.904; -5.331, 10.882; -2.899, 12.368; 3.940, 18.998; 
133, inflight: -18.402, 0.000; -10.802, 6.658; -10.650, 7.106; -5.331, 11.130; -2.899, 12.571; 3.940, 18.981; 
134, inflight: -18.402, 0.000; -10.802, 6.765; -10.650, 7.294; -5.331, 11.111; -2.899, 12.434; 3.940, 19.028; 
137, inflight: -18.402, 0.000; -10.802, 6.353; -10.650, 6.852; -5.331, 10.838; -2.899, 12.208; 3.940, 19.018; 
140, inflight: -18.402, 0.000; -10.802, 6.454; -10.650, 6.899; -5.331, 10.905; -2.899, 12.315; 3.940, 18.917; 
141, inflight: -18.402, 0.000; -10.802, 6.345; -10.650, 6.881; -5.331, 10.807; -2.899, 12.155; 3.940, 19.115; 
142, inflight: -18.402, 0.000; -10.802, 6.525; -10.650, 7.009; -5.331, 10.807; -2.899, 12.274; 3.940, 18.903; 
151, inflight: -18.402, 0.000; -10.802, 6.504; -10.650, 7.079; -5.331, 10.850; -2.899, 12.353; 3.940, 18.920; 
153, inflight: -18.402, 0.000; -10.802, 6.505; -10.650, 7.097; -5.331, 10.842; -2.899, 12.343; 3.940, 19.030; 
155, inflight: -18.402, 0.000; -10.802, 6.194; -10.650, 6.772; -5.331, 10.983; -2.899, 12.160; 3.940, 18.726; 
156, inflight: -18.402, 0.000; -10.802, 6.439; -10.650, 6.954; -5.331, 11.010; -2.899, 12.298; 3.940, 19.123; 
160, inflight: -18.402, 0.000; -10.802, 6.347; -10.650, 6.973; -5.179, 10.844; -2.899, 12.010; 3.788, 18.770; 
162, inflight: -18.402, 0.000; -10.802, 6.430; -10.650, 6.944; -5.179, 10.659; -2.899, 12.117; 3.788, 18.804; 
163, inflight: -18.402, 0.000; -10.802, 6.383; -10.650, 7.010; -5.179, 10.910; -2.899, 12.325; 3.788, 19.127; 
166, inflight: -18.402, 0.000; -10.802, 6.323; -10.650, 6.934; -5.179, 10.832; -2.899, 12.233; 3.788, 18.861; 
167, inflight: -18.402, 0.000; -10.802, 6.460; -10.650, 6.954; -5.179, 10.860; -2.899, 12.255; 3.788, 18.994; 
168, inflight: -18.402, 0.000; -10.802, 6.503; -10.650, 6.997; -5.179, 10.821; -2.899, 12.225; 3.788, 18.962; 
169, inflight: -18.402, 0.000; -10.802, 6.392; -10.650, 6.975; -5.179, 10.801; -2.899, 12.131; 3.788, 18.896; 
172, inflight: -18.402, 0.000; -10.802, 6.456; -10.650, 7.006; -5.179, 10.880; -2.899, 12.243; 3.788, 18.986; 
173, inflight: -18.402, 0.000; -10.802, 6.407; -10.650, 6.960; -5.179, 10.743; -2.899, 12.171; 3.788, 18.846; 
178, inflight: -18.250, 0.000; -10.802, 6.383; -10.650, 6.871; -5.179, 10.701; -2.899, 12.117; 3.788, 18.755; 
179, inflight: -18.250, 0.000; -10.802, 6.426; -10.650, 6.898; -5.179, 10.614; -2.899, 12.177; 3.788, 18.824; 
180, inflight: -18.250, 0.000; -10.802, 6.366; -10.650, 6.929; -5.179, 10.746; -2.899, 12.082; 3.788, 18.838; 
189, inflight: -18.250, 0.000; -10.802, 6.500; -10.650, 7.029; -5.179, 10.922; -2.899, 12.339; 3.940, 18.953; 
194, inflight: -18.250, 0.000; -10.802, 6.405; -10.650, 6.898; -5.179, 10.757; -2.899, 12.153; 3.940, 18.702; 
195, inflight: -18.250, 0.000; -10.802, 6.327; -10.650, 6.923; -5.179, 10.865; -2.899, 12.257; 3.940, 19.048; 
197, inflight: -18.250, 0.000; -10.802, 6.388; -10.650, 6.917; -5.179, 10.719; -2.899, 12.149; 3.940, 18.636; 
198, inflight: -18.250, 0.000; -10.802, 6.469; -10.650, 6.951; -5.179, 10.789; -2.899, 12.258; 3.940, 18.881; 
