wavelength (microns),Sapphire Window_130 Transmission
1.0,86.4045
2.09994,86.4045
2.10079,86.4525
2.10164,86.498
2.1025,86.5405
2.10335,86.582
2.1042,86.627
2.10506,86.6735
2.10591,86.713
2.10677,86.7405
2.10762,86.762
2.10848,86.785
2.10934,86.813
2.1102,86.84
2.11106,86.8605
2.11192,86.876
2.11278,86.89
2.11364,86.9
2.1145,86.9035
2.11536,86.9075
2.11623,86.911
2.11709,86.915
2.11796,86.92
2.11882,86.9235
2.11969,86.922
2.12055,86.917
2.12142,86.9105
2.12229,86.9025
2.12316,86.89
2.12403,86.8715
2.1249,86.849
2.12577,86.821
2.12664,86.786
2.12752,86.7395
2.12839,86.702
2.12926,86.709
2.13014,86.758
2.13101,86.811
2.13189,86.843
2.13277,86.8555
2.13364,86.8585
2.13452,86.8595
2.1354,86.8615
2.13628,86.861
2.13716,86.8555
2.13804,86.8505
2.13893,86.8505
2.13981,86.8525
2.14069,86.8505
2.14158,86.8485
2.14246,86.8485
2.14335,86.8465
2.14423,86.8465
2.14512,86.847
2.14601,86.8435
2.1469,86.8365
2.14779,86.8285
2.14868,86.821
2.14957,86.812
2.15046,86.804
2.15135,86.7975
2.15224,86.7905
2.15314,86.779
2.15403,86.764
2.15493,86.749
2.15582,86.738
2.15672,86.7265
2.15762,86.7075
2.15852,86.6885
2.15942,86.677
2.16031,86.6745
2.16122,86.672
2.16212,86.664
2.16302,86.6535
2.16392,86.6405
2.16482,86.623
2.16573,86.605
2.16663,86.5885
2.16754,86.569
2.16845,86.549
2.16935,86.5365
2.17026,86.5315
2.17117,86.528
2.17208,86.5235
2.17299,86.5175
2.1739,86.51
2.17481,86.502
2.17573,86.4965
2.17664,86.492
2.17755,86.4865
2.17847,86.477
2.17938,86.4685
2.1803,86.465
2.18122,86.462
2.18214,86.457
2.18306,86.452
2.18397,86.451
2.18489,86.4515
2.18582,86.4475
2.18674,86.4425
2.18766,86.4375
2.18858,86.4345
2.18951,86.4355
2.19043,86.4395
2.19136,86.4445
2.19229,86.4505
2.19321,86.457
2.19414,86.4615
2.19507,86.464
2.196,86.4675
2.19693,86.4715
2.19786,86.474
2.19879,86.476
2.19973,86.48
2.20066,86.4835
2.20159,86.4855
2.20253,86.485
2.20347,86.488
2.2044,86.494
2.20534,86.498
2.20628,86.4975
2.20722,86.498
2.20816,86.5015
2.2091,86.5035
2.21004,86.5045
